summary,impact,url,tag
,,http://humber.ca/makingaccessiblemedia/index.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/index.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/index.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/01.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/02.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/02.php,<html class="js loggedout js flexbox flexboxlegacy canvas canvastext webgl no-touch geolocation postmessage no-websqldatabase indexeddb hashchange history draganddrop websockets rgba hsla multiplebgs backgroundsize borderimage borderradius boxshadow textshadow opacity cssanimations csscolumns cssgradients no-cssreflections csstransforms csstransforms3d csstransitions fontface generatedcontent video audio localstorage sessionstorage webworkers no-applicationcache svg inlinesvg smil svgclippaths cors" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/03.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/04.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/05.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/index.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/index.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/index.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/01.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/02.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/02.php,<html class="js loggedout js flexbox flexboxlegacy canvas canvastext webgl no-touch geolocation postmessage no-websqldatabase indexeddb hashchange history draganddrop websockets rgba hsla multiplebgs backgroundsize borderimage borderradius boxshadow textshadow opacity cssanimations csscolumns cssgradients no-cssreflections csstransforms csstransforms3d csstransitions fontface generatedcontent video audio localstorage sessionstorage webworkers no-applicationcache svg inlinesvg smil svgclippaths cors" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/03.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/04.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/05.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/06.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/07.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/08.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/09.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/09.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/10.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/10.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/11.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/11.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/11.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/12.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/12.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/12.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/12.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/12.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/13.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/13.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/13.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/14.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/15.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/01/16.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/01.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/02.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/02.php,<html class="js loggedout js flexbox flexboxlegacy canvas canvastext webgl no-touch geolocation postmessage no-websqldatabase indexeddb hashchange history draganddrop websockets rgba hsla multiplebgs backgroundsize borderimage borderradius boxshadow textshadow opacity cssanimations csscolumns cssgradients no-cssreflections csstransforms csstransforms3d csstransitions fontface generatedcontent video audio localstorage sessionstorage webworkers no-applicationcache svg inlinesvg smil svgclippaths cors" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/02.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/03.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/03.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/03.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/03.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/04.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/05.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/06.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/06.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/07.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/07.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/07.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/08.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/08.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/09.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/09.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/10.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/10.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/11.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/12.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/13.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/14.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/15.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/16.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/field-notes.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/field-notes.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/field-notes.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/field-notes.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/field-notes.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/field-notes.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/field-notes.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/02/field-notes.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/01.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/02.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/03.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/04.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/05.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/06.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/06.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/06.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/06.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/06.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/07.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/08.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/08.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/08.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/09.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/10.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/11.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/11.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/12.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/12.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/12.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/12.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/13.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/13.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/13.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/15.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/15.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/14.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/14.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/14.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/14.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/14.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/14.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/16.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/16.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/16.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/17.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/17.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/17.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/18.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/19.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/03/20.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/04/01.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/04/02.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/04/02.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/04/03.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/04/04.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/04/05.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/04/06.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/04/07.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/04/08.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/04/11.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/04/11.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/04/12.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/04/13.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/04/14.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/04/15.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/04/16.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/04/17.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/04/18.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/04/19.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/04/20.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/01.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/02.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/02.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/03.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/04.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/04.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/04.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/05.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/05.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/06.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/06.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/07.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/07.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/08.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/08.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/08.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/09.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/10.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/11.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/13.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/12.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/12.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/12.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/12.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/12.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/12.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/12.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/12.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/12.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/12.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/12.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/14.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/05/15.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/06/01.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/06/02.php,<html lang="en">
,,http://humber.ca/makingaccessiblemedia/modules/06/02.php,<html dir="ltr" data-cast-api-enabled="true" lang="en">
